ensembl_gene_id,symbol,clip_fpkm_mean,rna_case,rna_control,clip_enrichment,expr_change,localization_group
ENSMUSG00000025920,STAU2,33.75044666666667,7.79076,7.49299,2.032687065321526,0.049715346837607505,Nucleus
ENSMUSG00000025921,RDH10,0.6088466666666666,10.5794,11.8788,-3.000899434908691,-0.15343767425709684,Integral Membrane
ENSMUSG00000025925,TERF1,50.94493333333333,20.4575,20.1897,1.2936198742525555,0.018118835947113696,Nucleus
ENSMUSG00000025931,PAQR8,2.7995966666666665,8.6383,8.94139,-1.3876013004928671,-0.04466887591983939,Integral Membrane
ENSMUSG00000025933,TMEM14A,1.3155033333333332,3.23537,2.63339,-0.6499903958350716,0.22117177850527803,Integral Membrane
ENSMUSG00000025934,GSTA3,11.128807666666667,13.8576,16.629,-0.5395129085170207,-0.246749549384266,Unannotated
ENSMUSG00000025935,TRAM1,24.402779999999996,31.325,30.7995,-0.32401769182173307,0.023646288588524248,Unannotated
ENSMUSG00000025937,LACTB2,2.329916666666667,6.60313,5.86442,-1.0436517535659695,0.14745563187086488,Unannotated
ENSMUSG00000025939,UBE2W,8.378766666666666,11.901,11.3789,-0.4004129990873154,0.059599777048113964,Nucleus
ENSMUSG00000025940,TMEM70,31.1622,18.1445,18.3788,0.7308868579413476,-0.017549255444334007,Unannotated
ENSMUSG00000025949,PIKFYVE,10.726213333333334,10.1709,10.4602,0.03310498703266373,-0.036886798445978385,Unannotated
ENSMUSG00000025950,IDH1,24.925300000000004,81.3281,72.7338,-1.507965427110441,0.15905882070183733,Cytoplasm
ENSMUSG00000025955,AKR1CL,12.481506666666666,152.477,135.558,-3.3404601908196354,0.16850863588702628,Unannotated
ENSMUSG00000025956,METTL21A,0,3.65482,2.88587,-1.958237637029154,0.2604877434019066,Cytoplasm
ENSMUSG00000025958,CREB1,41.155,7.86454,7.02595,2.3929596856510247,0.1433736000695592,Nucleus
ENSMUSG00000025959,KLF7,50.37473333333333,6.50891,6.20186,2.8346175405786282,0.06023394541098592,Nucleus
ENSMUSG00000025962,FASTKD2,8.843716666666667,7.17886,7.28756,0.24825572302407603,-0.01904764107204749,Unannotated
ENSMUSG00000025964,ADAM23,8.838243333333333,1.78845,1.71394,1.8580119123811258,0.03907457619555397,Unannotated
ENSMUSG00000025968,NDUFS1,101.35043333333333,34.1015,36.3591,1.4539856051749442,-0.0899270173513812,Unannotated
ENSMUSG00000025969,NRP2,2.493197,0.859007,1.18824,0.6747770287540116,-0.23523877487168643,Unannotated
ENSMUSG00000025977,BOLL,8.0678,8.50548,11.146,-0.42165679793616984,-0.35364988843358613,Cytoplasm
ENSMUSG00000025978,RFTN2,9.25437,2.81687,2.53505,1.5364363334923128,0.11065942941613201,Unannotated
ENSMUSG00000025979,MOB4,6.178746666666666,17.6022,16.2433,-1.2642320100911726,0.10943735066785355,Cytoplasm
ENSMUSG00000025980,HSPD1,723.7866666666665,70.966,67.7729,3.3976443282715723,0.06547529087809764,Cytoplasm
ENSMUSG00000025981,COQ10B,23.11238,20.2336,19.1695,0.257598738316352,0.07417367014532165,Unannotated
ENSMUSG00000025982,SF3B1,259.60566666666665,68.1425,63.5258,2.013920426243861,0.09969664520577529,Unannotated
ENSMUSG00000025983,CCDC150,0,0.532622,0.680565,-0.7489463435171682,-0.13294442340896548,Unannotated
ENSMUSG00000025986,SLC39A10,12.007960000000002,21.6524,21.3661,-0.7819189879130084,0.018350196421648493,Unannotated
ENSMUSG00000025993,SLC40A1,0.20096366666666665,11.434,8.59054,-2.997419544018932,0.37460652970190766,Integral Membrane
ENSMUSG00000025995,WDR75,95.06663333333334,41.8687,41.24,1.185425594394266,0.021314833170197545,Unannotated
ENSMUSG00000025997,IKZF2,0.165939,0.626427,0.562994,-0.42281992905568805,0.05739383024516121,Nucleus
ENSMUSG00000026000,LANCL1,125.18646666666666,5.6269,7.13713,3.9548933416444765,-0.2961858902998194,Cytoplasm
ENSMUSG00000026003,ACADL,10.714703333333333,43.9428,36.9242,-1.6947983281388155,0.2449712616993641,Unannotated
ENSMUSG00000026004,KANSL1L,1.9282166666666667,3.15662,2.9338,-0.4259013043309683,0.07948725137709112,Unannotated
ENSMUSG00000026005,RPE,10.285496666666667,12.4762,12.2482,-0.23132644569426924,0.024617387135951137,Unannotated
ENSMUSG00000026014,RAPH1,14.117483333333334,2.32018,2.41684,2.145483390917638,-0.04140123456528632,Unannotated
ENSMUSG00000026018,ICA1L,82.88716666666666,0.681646,0.994567,5.394302628053787,-0.2462015475180748,Unannotated
ENSMUSG00000026019,WDR12,48.51453333333333,7.25952,6.00158,2.822099614866498,0.23837742001538664,Nucleus
ENSMUSG00000026020,NOP58,209.08,77.032,76.1431,1.4453297943143633,0.0165287555699815,Nucleus
ENSMUSG00000026021,SUMO1,74.36613333333334,70.2578,77.2909,-0.05492825126702289,-0.13579668557200492,Nucleus
ENSMUSG00000026024,ALS2,399.0933333333334,13.2222,13.4343,4.792763539550377,-0.02135649545503993,Nucleus
ENSMUSG00000026027,STRADB,6.158636666666666,14.4512,16.1742,-1.262486134369492,-0.15252400994723625,Nucleus
ENSMUSG00000026028,TRAK2,13.012716666666668,11.1256,10.1122,0.3345922097323881,0.12591166599656486,Unannotated
ENSMUSG00000026029,CASP8,1.9925333333333333,9.13623,9.43671,-1.8022277755412368,-0.04214583186748138,Nucleus
ENSMUSG00000026031,CFLAR,9.003033333333335,10.1302,8.18096,0.12372063020389312,0.2777625959528654,Cytoplasm
ENSMUSG00000026032,NDUFB3,125.93993333333333,91.1256,95.9566,0.38873497657227435,-0.07373699807867816,Integral Membrane
ENSMUSG00000026034,CLK1,17.36484333333333,18.4792,12.0663,0.4910959195282261,0.576083758685434,Nucleus
ENSMUSG00000026035,PPIL3,4.839973333333334,12.2164,11.8943,-1.1426997683145657,0.035595801444493876,Unannotated
ENSMUSG00000026036,NIF3L1,9.15418,14.5269,14.6317,-0.6224009451979446,-0.009704865457928456,Nucleus
ENSMUSG00000026037,ORC2,139.7927,18.9602,19.9611,2.7477861992579196,-0.07058825238107924,Nucleus
ENSMUSG00000026042,COL5A2,0.5162803333333333,13.1776,11.3684,-3.028050470581207,0.19695444963363615,Unannotated
ENSMUSG00000026043,COL3A1,38.53146666666667,176.895,148.92,-1.9231194710631017,0.24683310400418226,Unannotated
ENSMUSG00000026047,KDELC1,7.446670000000054,16.2289,15.2474,-0.9437542753735605,0.0846217254238388,Unannotated
ENSMUSG00000026048,ERCC5,9.763135,6.18851,5.96396,0.6281185343046742,0.04578485034108982,Unannotated
ENSMUSG00000026049,TEX30,178.2904,72.6152,86.6002,1.0332921732493576,-0.25093048023793835,Unannotated
ENSMUSG00000026058,KHDRBS2,8.639616666666667,0.785287,1.24096,2.1048588790328573,-0.3279608793625337,Nucleus
ENSMUSG00000026064,PTP4A1,5.551426666666667,2.09164,2.46229,0.9200825389848463,-0.16335423208668998,Nucleus
ENSMUSG00000026072,IL1R1,1.2795500000000002,2.43879,2.52234,-0.6277851206963777,-0.03463315847524541,Integral Membrane
ENSMUSG00000026073,IL1R2,1.9734703333333332,0.626492,1.08426,0.5126124247125631,-0.35777153072055284,Integral Membrane
ENSMUSG00000026074,MAP4K4,291.75600000000003,41.7038,40.2666,2.8266522557532356,0.04938987582597767,Unannotated
ENSMUSG00000026078,PDCL3,84.61393333333334,21.2172,23.8077,1.7870576240892013,-0.15911097711268116,Cytoplasm
ENSMUSG00000026080,CHST10,32.16093333333333,6.31026,7.16531,2.021905048313382,-0.15958494081984365,Unannotated
ENSMUSG00000026082,REV1,262.806,22.7334,24.0997,3.3937353517799673,-0.08075132772699078,Nucleus
ENSMUSG00000026083,EIF5B,66.2377,31.9485,32.6256,0.9997103644521235,-0.029347223515700894,Cytoplasm
ENSMUSG00000026087,MRPL30,31.187300000000004,70.2924,71.2161,-1.1658289474168555,-0.018572221336317685,Unannotated
ENSMUSG00000026088,MITD1,2.856716666666667,6.31814,5.15145,-0.6735533555688705,0.2505504975113596,Unannotated
ENSMUSG00000026090,2010300C02RIK,13.775666666666668,2.78216,2.42673,2.108318796995896,0.1423778731115691,Unannotated
ENSMUSG00000026094,STK17B,40.8649,10.7638,12.7288,1.6085356504181025,-0.2228513667963034,Nucleus
ENSMUSG00000026095,ASNSD1,128.09063333333333,34.8956,35.3921,1.8266871149947912,-0.019818291406425388,Unannotated
ENSMUSG00000026096,OSGEPL1,43.00103333333334,4.86937,5.48938,2.7613848510200216,-0.14487499146641233,Unannotated
ENSMUSG00000026097,ORMDL1,1.7421673333333334,16.3649,16.6599,-2.6870886582093827,-0.02430307104850427,Integral Membrane
ENSMUSG00000026098,PMS1,13.046616666666667,7.84451,6.77984,0.8524102878623953,0.1850417324315015,Unannotated
ENSMUSG00000026102,INPP1,2.931574833333334,3.0481,2.50013,0.16769880793181038,0.20983642241337538,Unannotated
