GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0031012,278,-0.9151265374730227,0.10751933524593918,1.078938734749505e-25,3.238024284398209e-17,extracellular matrix,ALL,5.55653448395995e-23,3.8910258484185146e-14,5.55653448395995e-23,22.25519598606795
GO:0022626,89,2.9523374542348058,-0.0819095559226275,1.1431240960780477e-21,1.5196094890629101e-05,cytosolic ribosome,ALL,3.746329423964875e-19,7.608600288988599e-4,3.746329423964875e-19,18.426394036699207
GO:0006412,257,1.5502061685324942,-0.030157028036430476,2.5063495744617525e-21,5.871315948378623e-7,translation,ALL,7.529491846612182e-19,6.047455426829982e-5,7.529491846612182e-19,18.123234332651766
GO:1990904,355,1.3237563547523779,-0.019331707427981317,8.02813840288174e-21,2.2769729880193727e-6,ribonucleoprotein complex,ALL,2.2262645340298978e-18,1.7464867280446466e-4,2.2262645340298978e-18,17.65242323225486
GO:0002181,109,2.5104192121441264,-0.058558360549477176,3.7142162448112356e-20,7.38584527808591e-5,cytoplasmic translation,ALL,9.564106830388931e-18,0.002782292830359175,9.564106830388931e-18,17.019355581490885
GO:0051321,130,0.4995427005133072,-0.19679247386592844,0.12835533715252015,6.179966688740347e-21,meiotic cell cycle,ALL,0.36665688623996445,2.227877991290895e-17,2.227877991290895e-17,16.65210859678377
GO:0003735,145,2.035384859392986,-0.06874905404016564,3.06716163297178e-17,2.676626197617037e-9,structural constituent of ribosome,ALL,6.910698554289542e-15,6.432824961606279e-7,6.910698554289542e-15,14.160478050608502
GO:0007283,382,0.4760949692032525,-0.07019515839623483,0.010899281652953096,4.553340679940028e-18,spermatogenesis,ALL,0.08619049843967012,8.207396575591901e-15,8.207396575591901e-15,14.085794581267857
GO:0003676,488,0.8572558264585334,0.017514872549031564,7.646318139384268e-17,0.3339478073928657,nucleic acid binding,ALL,1.6214692289694285e-14,0.6422083687350455,1.6214692289694285e-14,13.79009128862874
GO:0009986,444,-0.41833972111000184,0.056324004110857216,1.0269959995566986e-16,1.037031942546161e-6,cell surface,ALL,2.0568447657788324e-14,9.58589782789464e-5,2.0568447657788324e-14,13.68679848414857
GO:0006325,356,1.0148697894128695,0.01770967907794897,1.8460854192806186e-16,0.7693796207541396,chromatin organization,ALL,3.502704177108753e-14,0.9069598984056051,3.502704177108753e-14,13.45559653972322
GO:0006281,372,0.970914003189681,-0.014081859334516014,3.2819935421688935e-16,1.5461955980173432e-6,DNA repair,ALL,5.91579335975943e-14,1.3595207636225664e-4,5.91579335975943e-14,13.227987004432341
GO:0140236,41,3.7486642091684854,-0.18200929254082765,4.763239459619699e-16,2.8200155393960807e-7,translation at presynapse,ALL,7.805217387240462e-14,3.29039232738731e-5,7.805217387240462e-14,13.107614996667646
GO:0140242,42,3.6848276526255725,-0.17740815057002843,4.67298105316515e-16,3.3037798214812606e-7,translation at postsynapse,ALL,7.805217387240462e-14,3.721914455137483e-5,7.805217387240462e-14,13.107614996667646
GO:0005840,181,1.6771129240132028,-0.057134269939245703,1.1044528785092794e-14,3.9647014620227016e-10,ribosome,ALL,1.5926210508103809e-12,1.2993407973265308e-07,1.5926210508103809e-12,11.79788754819135
GO:0006338,268,1.016134305462761,0.029144748496312285,2.760377639602636e-14,0.28832858198887934,chromatin remodeling,ALL,3.8273697656798094e-12,0.6001296409179618,3.8273697656798094e-12,11.41709957816305
GO:0030414,60,-1.6696852846212906,-0.027232190606846934,1.0678084951115254e-13,0.7634146561019448,peptidase inhibitor activity,ALL,1.4257220832877958e-11,0.9048032232883058,1.4257220832877958e-11,10.845965123472656
GO:0004867,50,-1.8046452585212667,-0.09749178515828244,1.9108475645623825e-13,0.6190801746829919,serine-type endopeptidase inhibitor activity,ALL,2.4602162393740675e-11,0.8322337572455314,2.4602162393740675e-11,10.609026719140664
GO:0022625,48,3.2265214884764672,-0.062808440843636,3.7815392259343393e-13,1.373893730945508e-5,cytosolic large ribosomal subunit,ALL,4.544149636497764e-11,7.075552714369366e-4,4.544149636497764e-11,10.342547375968852
GO:0014069,287,1.083101750050733,0.030051059014464677,5.14421557519708e-13,0.9065067964066956,postsynaptic density,ALL,5.970246753011706e-11,0.9641984334952322,5.970246753011706e-11,10.22400771891137
GO:0003682,451,0.8081470042449994,0.02462064937443688,8.777565125495136e-13,0.3281350890705612,chromatin binding,ALL,9.588824932548475e-11,0.6397658172522299,9.588824932548475e-11,10.018234610407838
GO:0007129,30,0.2894574579911909,-0.38774369170004386,0.8223006869366287,5.240661057280591e-13,homologous chromosome pairing at meiosis,ALL,0.936321533924999,3.778516622299306e-10,3.778516622299306e-10,9.422678662911077
