ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
CC,CLIP enrichment,Negative,1,GO:0031012,extracellular matrix,278,-0.9151265374730227,9.566590114778943e-24,23.019242833197737
CC,CLIP enrichment,Negative,2,GO:0009986,cell surface,444,-0.41833972111000184,4.966926106946942e-15,14.303912300963887
CC,CLIP enrichment,Negative,3,GO:0005581,collagen trimer,55,-1.3042469749454375,1.7471517729176399e-9,8.75766936675284
CC,CLIP enrichment,Negative,4,GO:0009897,external side of plasma membrane,204,-0.48290075244975034,3.2877637289197535e-9,8.483099400047228
CC,CLIP enrichment,Negative,5,GO:0005604,basement membrane,88,-0.9446504099348868,5.0578294955160666e-8,7.296035815245594
CC,CLIP enrichment,Negative,6,GO:0045121,membrane raft,164,-0.3924966345302679,8.36956620423979e-5,4.077297050965774
CC,CLIP enrichment,Negative,7,GO:0098552,side of membrane,73,-0.7161657530000901,1.6725112565761462e-4,3.7766309505990305
CC,CLIP enrichment,Negative,8,GO:0005764,lysosome,385,-0.0902569546150577,6.841052874320705e-4,3.164877052911662
CC,CLIP enrichment,Negative,9,GO:0042383,sarcolemma,111,-0.33478433437312416,0.00269834734084126,2.568902147139495
CC,CLIP enrichment,Negative,10,GO:0005614,interstitial matrix,11,-1.5005768589543595,0.00490688820143186,2.3091938368742597
CC,CLIP enrichment,Negative,11,GO:0034702,monoatomic ion channel complex,61,-0.2814588769972826,0.02795654086327939,1.553516566006716
CC,CLIP enrichment,Negative,12,GO:0005788,endoplasmic reticulum lumen,87,-0.2978761554276055,0.03243056680312126,1.4890454609071457
CC,CLIP enrichment,Negative,13,GO:0043235,receptor complex,129,-0.07166755509566038,0.03538534988601852,1.4511765057866903
CC,CLIP enrichment,Negative,14,GO:0030670,phagocytic vesicle membrane,50,-0.501603502067097,0.03806016274623233,1.4195293589906817
CC,CLIP enrichment,Negative,15,GO:0042589,zymogen granule membrane,12,-1.123580459520472,0.03806016274623233,1.4195293589906817
CC,CLIP enrichment,Positive,1,GO:0022626,cytosolic ribosome,89,2.9523374542348058,6.757133545705794e-20,19.170237497740708
CC,CLIP enrichment,Positive,2,GO:1990904,ribonucleoprotein complex,355,1.323756354752378,4.2709696303330857e-19,18.369473516708425
CC,CLIP enrichment,Positive,3,GO:0005840,ribosome,181,1.6771129240132028,4.519761010514897e-13,12.344884528586547
CC,CLIP enrichment,Positive,4,GO:0022625,cytosolic large ribosomal subunit,48,3.2265214884764672,1.3411859121313792e-11,10.87251101706527
CC,CLIP enrichment,Positive,5,GO:0014069,postsynaptic density,287,1.083101750050733,1.6584397605167867e-11,10.780300298730138
CC,CLIP enrichment,Positive,6,GO:0000785,chromatin,427,0.7227224849823244,2.3584701085685353e-8,7.627369623665049
CC,CLIP enrichment,Positive,7,GO:0022627,cytosolic small ribosomal subunit,33,2.892422283446668,2.3584701085685353e-8,7.627369623665049
CC,CLIP enrichment,Positive,8,GO:0098794,postsynapse,341,1.0057208654229888,3.9510455576683956e-8,7.403287962642035
CC,CLIP enrichment,Positive,9,GO:0005681,spliceosomal complex,167,0.9632554615069928,1.8144068143711464e-6,5.741265331703508
CC,CLIP enrichment,Positive,10,GO:0032040,small-subunit processome,68,1.4769603497021515,1.016128538009528e-5,4.9930513512870025
CC,CLIP enrichment,Positive,11,GO:0016607,nuclear speck,379,0.6935882873564037,1.939722850344424e-5,4.712260318092752
CC,CLIP enrichment,Positive,12,GO:0098793,presynapse,272,0.9564293501669214,3.202092634221376e-5,4.494566108410082
CC,CLIP enrichment,Positive,13,GO:0000781,"chromosome, telomeric region",117,0.9452825655174556,7.055908727246774e-5,4.151447045720547
CC,CLIP enrichment,Positive,14,GO:0000792,heterochromatin,57,1.2333646630769064,7.593467626200639e-5,4.119559854273925
CC,CLIP enrichment,Positive,15,GO:0071013,catalytic step 2 spliceosome,88,1.0506048451137064,9.678397047365876e-5,4.014196565328965
CC,Expression change (KO),Negative,1,GO:0000795,synaptonemal complex,38,-0.24507384094585005,4.560796602430513e-9,8.340959295531865
CC,Expression change (KO),Negative,2,GO:0005840,ribosome,181,-0.057134269939245703,3.0131731111372536e-8,7.5209759167660755
CC,Expression change (KO),Negative,3,GO:1990904,ribonucleoprotein complex,355,-0.01933170742798131,8.652497354473616e-5,4.062858524820623
CC,Expression change (KO),Negative,4,GO:0000794,condensed nuclear chromosome,46,-0.14696574436800036,1.1027435737664224e-4,3.957525464391463
CC,Expression change (KO),Negative,5,GO:0000800,lateral element,17,-0.30949318871671644,1.1027435737664224e-4,3.957525464391463
CC,Expression change (KO),Negative,6,GO:0031514,motile cilium,114,-0.0562968146471592,1.1027435737664224e-4,3.957525464391463
CC,Expression change (KO),Negative,7,GO:0022625,cytosolic large ribosomal subunit,48,-0.062808440843636,3.04546443692921e-4,3.516346467558252
CC,Expression change (KO),Negative,8,GO:0022626,cytosolic ribosome,89,-0.0819095559226275,3.2337289927258727e-4,3.490296379573542
CC,Expression change (KO),Negative,9,GO:0036126,sperm flagellum,66,-0.05667865195953561,0.00140168363992559,2.8533499955978177
CC,Expression change (KO),Negative,10,GO:0000775,"chromosome, centromeric region",145,-0.03720661132099417,0.00168918758626134,2.772322118839605
CC,Expression change (KO),Negative,11,GO:0045271,respiratory chain complex I,40,-0.06832368494925975,0.00234604390689305,2.6296638641970747
CC,Expression change (KO),Negative,12,GO:0000939,inner kinetochore,16,-0.11330552859049164,0.01114772008572778,1.9528139447622894
CC,Expression change (KO),Negative,13,GO:0001673,male germ cell nucleus,69,-0.0726939202253189,0.01929679267801183,1.7145148691266103
CC,Expression change (KO),Negative,14,GO:0002177,manchette,13,-0.1314633635544031,0.02066540285696488,1.6847561240453997
CC,Expression change (KO),Negative,15,GO:0032040,small-subunit processome,68,-0.0820202848462194,0.02642887402721214,1.5779213391076057
CC,Expression change (KO),Positive,1,GO:0031012,extracellular matrix,278,0.10751933524593918,1.7226289192998473e-14,13.763808266171912
CC,Expression change (KO),Positive,2,GO:0005604,basement membrane,88,0.13850058468831747,3.301694656360782e-9,8.481263093153574
CC,Expression change (KO),Positive,3,GO:0005912,adherens junction,137,0.09741012645264284,2.24981519284035e-6,5.6478531547890825
CC,Expression change (KO),Positive,4,GO:0005925,focal adhesion,167,0.08227939159332245,1.36843147808023e-5,4.863776944279938
CC,Expression change (KO),Positive,5,GO:0070161,anchoring junction,306,0.06497688817841944,4.104580083456934e-5,4.3867312665020775
CC,Expression change (KO),Positive,6,GO:0009986,cell surface,444,0.05632400411085721,4.2438537956504425e-5,4.372239586324884
CC,Expression change (KO),Positive,7,GO:0001725,stress fiber,84,0.11273302613196134,1.053136391464371e-4,3.977515379788403
CC,Expression change (KO),Positive,8,GO:0030018,Z disc,112,0.08383410611882453,1.053136391464371e-4,3.977515379788403
CC,Expression change (KO),Positive,9,GO:0005581,collagen trimer,55,0.13409546243279552,1.3414675222630536e-4,3.8724198373958316
CC,Expression change (KO),Positive,10,GO:0005743,mitochondrial inner membrane,449,9.82776320621972e-4,2.5998890002688316e-4,3.585045193413717
CC,Expression change (KO),Positive,11,GO:0002116,semaphorin receptor complex,10,0.22008317416595585,0.00127176194948057,2.8955941730446773
CC,Expression change (KO),Positive,12,GO:0048787,presynaptic active zone membrane,39,0.10873985995341008,0.00140168363992559,2.8533499955978177
CC,Expression change (KO),Positive,13,GO:0042383,sarcolemma,111,0.0914348519079914,0.00155350182101995,2.8086882333272865
CC,Expression change (KO),Positive,14,GO:0031594,neuromuscular junction,89,0.09083550753380204,0.00257274280666626,2.5896036274035534
CC,Expression change (KO),Positive,15,GO:0045211,postsynaptic membrane,157,0.05987325566305809,0.00374695807033791,2.4263211667734987
