ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
ALL,CLIP enrichment,Negative,1,GO:0031012,extracellular matrix,278,-0.9151265374730227,5.55653448395995e-23,22.25519598606795
ALL,CLIP enrichment,Negative,2,GO:0009986,cell surface,444,-0.41833972111000184,2.0568447657788324e-14,13.68679848414857
ALL,CLIP enrichment,Negative,3,GO:0030414,peptidase inhibitor activity,60,-1.6696852846212906,1.4257220832877958e-11,10.845965123472656
ALL,CLIP enrichment,Negative,4,GO:0004867,serine-type endopeptidase inhibitor activity,50,-1.804645258521267,2.4602162393740675e-11,10.609026719140664
ALL,CLIP enrichment,Negative,5,GO:0005581,collagen trimer,55,-1.3042469749454375,6.0887582462204975e-9,8.215471269239409
ALL,CLIP enrichment,Negative,6,GO:0009897,external side of plasma membrane,204,-0.48290075244975034,1.11394626341689e-8,7.953135758950809
ALL,CLIP enrichment,Negative,7,GO:0005604,basement membrane,88,-0.9446504099348868,1.642269472982122e-7,6.78455557984319
ALL,CLIP enrichment,Negative,8,GO:0007186,G protein-coupled receptor signaling pathway,173,-0.3836093568635552,5.906035118579569e-7,6.228703974953064
ALL,CLIP enrichment,Negative,9,GO:0030020,extracellular matrix structural constituent conferring tensile strength,32,-1.3574097526121414,2.9305618343982272e-6,5.533049110639766
ALL,CLIP enrichment,Negative,10,GO:0050840,extracellular matrix binding,25,-2.014205876400265,3.5094811829874004e-6,5.454757081830382
ALL,CLIP enrichment,Negative,11,GO:0030198,extracellular matrix organization,108,-0.6022105479266514,5.383470375465334e-6,5.26893767247034
ALL,CLIP enrichment,Negative,12,GO:0016491,oxidoreductase activity,435,-0.1441565845365173,6.491486897425405e-5,4.18765581515871
ALL,CLIP enrichment,Negative,13,GO:0042742,defense response to bacterium,88,-0.6406308516342166,8.169418459433226e-5,4.087808857647289
ALL,CLIP enrichment,Negative,14,GO:0004930,G protein-coupled receptor activity,81,-0.5017535090647393,9.422124496413875e-5,4.025851161640095
ALL,CLIP enrichment,Negative,15,GO:0008201,heparin binding,94,-0.5982859943628807,9.422124496413875e-5,4.025851161640095
ALL,CLIP enrichment,Positive,1,GO:0022626,cytosolic ribosome,89,2.9523374542348058,3.746329423964875e-19,18.426394036699207
ALL,CLIP enrichment,Positive,2,GO:0006412,translation,257,1.5502061685324942,7.529491846612182e-19,18.123234332651766
ALL,CLIP enrichment,Positive,3,GO:1990904,ribonucleoprotein complex,355,1.323756354752378,2.2262645340298974e-18,17.65242323225486
