GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0031012,278,-0.9151265374730227,0.10751933524593918,1.078938734749505e-25,3.238024284398209e-17,extracellular matrix,CC,9.566590114778944e-24,1.7226289192998473e-14,9.566590114778944e-24,23.019242833197737
GO:0022626,89,2.9523374542348058,-0.0819095559226275,1.1431240960780477e-21,1.5196094890629101e-05,cytosolic ribosome,CC,6.757133545705794e-20,3.2337289927258727e-4,6.757133545705794e-20,19.170237497740708
GO:1990904,355,1.3237563547523779,-0.019331707427981317,8.02813840288174e-21,2.2769729880193727e-6,ribonucleoprotein complex,CC,4.2709696303330857e-19,8.652497354473616e-5,4.2709696303330857e-19,18.369473516708425
GO:0009986,444,-0.41833972111000184,0.056324004110857216,1.0269959995566986e-16,1.037031942546161e-6,cell surface,CC,4.966926106946942e-15,4.2438537956504425e-5,4.966926106946942e-15,14.303912300963887
GO:0005840,181,1.6771129240132028,-0.057134269939245703,1.1044528785092794e-14,3.9647014620227016e-10,ribosome,CC,4.519761010514897e-13,3.013173111137253e-8,4.519761010514897e-13,12.344884528586547
GO:0022625,48,3.2265214884764672,-0.062808440843636,3.7815392259343393e-13,1.373893730945508e-5,cytosolic large ribosomal subunit,CC,1.3411859121313791e-11,3.04546443692921e-4,1.3411859121313791e-11,10.87251101706527
GO:0014069,287,1.083101750050733,0.030051059014464677,5.14421557519708e-13,0.9065067964066956,postsynaptic density,CC,1.6584397605167867e-11,0.9452921200686076,1.6584397605167867e-11,10.780300298730138
GO:0005581,55,-1.3042469749454375,0.13409546243279552,5.911415773029608e-11,5.043110985951329e-6,collagen trimer,CC,1.7471517729176399e-9,1.3414675222630536e-4,1.7471517729176399e-9,8.75766936675284
GO:0009897,204,-0.48290075244975034,0.05821550473864638,1.1742013317570548e-10,0.003042043045665126,external side of plasma membrane,CC,3.2877637289197535e-9,0.036781065915769254,3.2877637289197535e-9,8.483099400047228
GO:0005604,88,-0.9446504099348869,0.13850058468831747,2.1866556089637127e-9,1.861857888925253e-11,basement membrane,CC,5.057829495516066e-8,3.301694656360782e-9,3.301694656360782e-9,8.481263093153574
GO:0000795,38,0.168549095899213,-0.24507384094585005,0.8862049937321111,3.429170377767303e-11,synaptonemal complex,CC,0.9384524035376055,4.560796602430513e-9,4.560796602430513e-9,8.340959295531865
GO:0000785,427,0.7227224849823244,0.011080106836603208,9.309750428560007e-10,0.38253630196920313,chromatin,CC,2.358470108568535e-8,0.6185693393544561,2.358470108568535e-8,7.627369623665049
GO:0022627,33,2.892422283446668,-0.15494878208232968,9.154713777758399e-10,0.014504291861927412,cytosolic small ribosomal subunit,CC,2.358470108568535e-8,0.08658128387128679,2.358470108568535e-8,7.627369623665049
