GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0007169,65,0.012870651124500032,0.12288086193937961,6.917841170649559e-4,5.9789496976147355e-5,cell surface receptor protein tyrosine kinase signaling pathway,BP,0.013806369454982807,0.001193256486261246,0.001193256486261246,2.9232661962327753
GO:0006672,19,0.16899163752064433,0.3204412494330593,0.01616202592149109,6.0315334109583845e-5,ceramide metabolic process,BP,0.12477725788259092,0.001193635393513193,0.001193635393513193,2.9231283120399887
GO:0007178,23,0.6355580438309109,0.2861360873816343,1.8815005678401158e-5,2.6636804238138086e-4,cell surface receptor protein serine/threonine kinase signaling pathway,BP,0.0011975496857468844,0.0035845527989037253,0.0011975496857468844,2.9217064588753536
GO:0034113,17,0.5312347679412709,0.40754850635203205,3.110460797245018e-4,6.282535911655561e-5,heterotypic cell-cell adhesion,BP,0.007876489438184964,0.0012329476726624037,0.0012329476726624037,2.909055354836716
GO:0030968,51,0.16891935268834166,0.17270879472727302,2.171048063429722e-5,1.0438572221872891e-4,endoplasmic reticulum unfolded protein response,BP,0.0013259773279033888,0.001794367706752603,0.0013259773279033888,2.8774639016104535
GO:0048255,38,-0.7079221016783896,-0.5519358482707392,0.20534730695725825,6.945414832451181e-5,mRNA stabilization,BP,0.4860230229993399,0.0013517728868117796,0.0013517728868117796,2.8690962686678767
GO:0048026,25,-1.4905906730834204,-0.6292058411192275,3.314665293213482e-4,7.115623579640906e-5,"positive regulation of mRNA splicing, via spliceosome",BP,0.008131288297414323,0.0013735486500044535,0.0013735486500044535,2.862155953604687
GO:0007601,61,-0.19379968668767103,0.1263342365151898,0.011900055438406255,7.230054401461879e-5,visual perception,BP,0.10265432438625176,0.0013842909036945303,0.0013842909036945303,2.8587726348838505
GO:0045815,38,-0.8962946336715384,-0.5671005025031932,0.030837097357333212,7.419787325010593e-5,transcription initiation-coupled chromatin remodeling,BP,0.17499795082003897,0.0014091612218064473,0.0014091612218064473,2.85103931651776
GO:0071526,34,-0.008546736047990722,0.17782433667397246,0.016808024057880518,7.80913708933867e-5,semaphorin-plexin signaling pathway,BP,0.12606018043410389,0.0014595649083644895,0.0014595649083644895,2.835776586720699
