ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
ALL,CLIP enrichment,Negative,1,GO:0000139,Golgi membrane,481,-0.01794415853437205,3.102205314201732e-21,20.508329462526888
ALL,CLIP enrichment,Negative,2,GO:0005509,calcium ion binding,372,-0.04738312384579784,3.862258617481037e-13,12.413158649152042
ALL,CLIP enrichment,Negative,3,GO:0055085,transmembrane transport,321,-0.04832928758945172,1.808839144060087e-11,10.742600052240897
ALL,CLIP enrichment,Negative,4,GO:0016324,apical plasma membrane,275,-0.01982272210566181,1.254879477757844e-10,9.901397983073922
ALL,CLIP enrichment,Negative,5,GO:0006811,monoatomic ion transport,335,-0.09680496372957464,2.7223979119373273e-9,8.565048397013351
ALL,CLIP enrichment,Negative,6,GO:0022626,cytosolic ribosome,100,-1.3988876166896085,6.997851091204627e-9,8.155035303201526
ALL,CLIP enrichment,Negative,7,GO:0031012,extracellular matrix,215,-0.02257530579556072,1.2704769714237631e-8,7.8960332025335065
ALL,CLIP enrichment,Negative,8,GO:0002181,cytoplasmic translation,119,-1.2845659815885997,6.158827292559807e-8,7.210501974338048
ALL,CLIP enrichment,Negative,9,GO:0006412,translation,271,-0.9611436080576148,3.918668550260733e-7,6.40686146856586
ALL,CLIP enrichment,Negative,10,GO:0001525,angiogenesis,197,-0.05646512414456867,5.225168470677444e-7,6.281899702402353
ALL,CLIP enrichment,Negative,11,GO:0045211,postsynaptic membrane,167,-0.00369353828190753,1.8366743945226496e-6,5.73596782855854
ALL,CLIP enrichment,Negative,12,GO:0003735,structural constituent of ribosome,161,-1.1236120676023165,1.913009970134987e-6,5.718282766531342
ALL,CLIP enrichment,Negative,13,GO:0022625,cytosolic large ribosomal subunit,55,-1.5484821944202594,2.7284327241817793e-6,5.564086750283558
ALL,CLIP enrichment,Negative,14,GO:0005840,ribosome,197,-1.036688178977997,3.418691176595684e-6,5.46614012890741
ALL,CLIP enrichment,Negative,15,GO:0016477,cell migration,221,-0.11070944599539988,5.963074009901905e-6,5.22452980043247
ALL,CLIP enrichment,Positive,1,GO:0009986,cell surface,438,0.16411573826077688,4.876089832122296e-32,31.3119283019799
ALL,CLIP enrichment,Positive,2,GO:0009897,external side of plasma membrane,180,0.26041864489571936,1.2474848323837892e-15,14.903964726066953
ALL,CLIP enrichment,Positive,3,GO:0006486,protein glycosylation,140,0.3133032316919236,4.221848486601409e-15,14.374497356678212
ALL,CLIP enrichment,Positive,4,GO:0007155,cell adhesion,301,0.03796697018236057,4.221848486601409e-15,14.374497356678212
ALL,CLIP enrichment,Positive,5,GO:0005788,endoplasmic reticulum lumen,90,0.5357616834141383,1.0072685864786698e-14,13.996854710109204
ALL,CLIP enrichment,Positive,6,GO:0038023,signaling receptor activity,94,0.3676453942670848,4.818601170354688e-12,11.317079018227147
ALL,CLIP enrichment,Positive,7,GO:0043235,receptor complex,119,0.29834729853459857,6.175622418062973e-11,10.209319264933427
ALL,CLIP enrichment,Positive,8,GO:0016323,basolateral plasma membrane,192,0.08046416795955819,7.757832463733393e-11,10.110259603552894
ALL,CLIP enrichment,Positive,9,GO:0016757,glycosyltransferase activity,167,0.1113839400669905,4.4210549029767356e-10,9.354474091764159
ALL,CLIP enrichment,Positive,10,GO:0008201,heparin binding,78,0.31544251888815605,8.698319666977624e-9,8.06056463586896
ALL,CLIP enrichment,Positive,11,GO:0098609,cell-cell adhesion,127,0.14736047899935403,2.8189144480078963e-8,7.549918104448331
ALL,CLIP enrichment,Positive,12,GO:0004888,transmembrane signaling receptor activity,82,0.23544942791539275,8.35386605719371e-8,7.078112492332569
ALL,CLIP enrichment,Positive,13,GO:0004714,transmembrane receptor protein tyrosine kinase activity,34,0.7789175410097127,1.0481840916154509e-7,6.979562435909951
