ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
MF,CLIP enrichment,Negative,1,GO:0005509,calcium ion binding,372,-0.04738312384579784,1.1605152117905517e-12,11.935349162529564
MF,CLIP enrichment,Negative,2,GO:0003735,structural constituent of ribosome,161,-1.1236120676023165,1.6765384512965829e-6,5.775586481606214
MF,CLIP enrichment,Negative,3,GO:0022857,transmembrane transporter activity,128,-0.05572845693112702,9.835531848302044e-5,4.007202150992465
MF,CLIP enrichment,Negative,4,GO:0005102,signaling receptor binding,232,-0.17915635153919857,1.6436569079239768e-4,3.784188830680118
MF,CLIP enrichment,Negative,5,GO:0030246,carbohydrate binding,106,-0.10910214028130416,0.00128120793648372,2.892380379748764
MF,CLIP enrichment,Negative,6,GO:0004386,helicase activity,124,-0.8844796667800243,0.00505510302094699,2.2962699892375915
MF,CLIP enrichment,Negative,7,GO:0003824,catalytic activity,259,-0.7749103454984035,0.00505510302094699,2.2962699892375915
MF,CLIP enrichment,Negative,8,GO:0046982,protein heterodimerization activity,238,-0.19775313673534717,0.00520586829287568,2.2835068236261074
MF,CLIP enrichment,Negative,9,GO:0048018,receptor ligand activity,56,-0.03593052207645703,0.00609498340565794,2.2150274724641386
MF,CLIP enrichment,Negative,10,GO:0008483,transaminase activity,19,-1.424274096151347,0.00609498340565794,2.2150274724641386
MF,CLIP enrichment,Negative,11,GO:0005096,GTPase activator activity,203,-0.8004513116780992,0.00680745149836734,2.167015444232062
MF,CLIP enrichment,Negative,12,GO:0003724,RNA helicase activity,69,-0.9772170015231,0.00831951068747455,2.079902216014429
MF,CLIP enrichment,Negative,13,GO:0015297,antiporter activity,79,-0.06425854380218143,0.00831951068747455,2.079902216014429
MF,CLIP enrichment,Negative,14,GO:0050839,cell adhesion molecule binding,64,-0.0379420863341224,0.00850457335551314,2.070347468529244
MF,CLIP enrichment,Negative,15,GO:0008237,metallopeptidase activity,97,-0.10332748851144716,0.00977967503478312,2.009675575983898
MF,CLIP enrichment,Positive,1,GO:0038023,signaling receptor activity,94,0.3676453942670848,7.691825293903713e-12,11.113970588546303
MF,CLIP enrichment,Positive,2,GO:0016757,glycosyltransferase activity,167,0.1113839400669905,6.365345677548275e-10,9.196178006499677
