ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
BP,CLIP enrichment,Negative,1,GO:0055085,transmembrane transport,321,-0.04832928758945172,7.153343718323265e-11,10.145490906594778
BP,CLIP enrichment,Negative,2,GO:0006811,monoatomic ion transport,335,-0.09680496372957464,1.1214747905493295e-8,7.9502104844068
BP,CLIP enrichment,Negative,3,GO:0002181,cytoplasmic translation,119,-1.2845659815885997,2.0973280459619777e-7,6.678333635624944
BP,CLIP enrichment,Negative,4,GO:0006412,translation,271,-0.9611436080576148,1.1299896979262555e-6,5.946925515945053
BP,CLIP enrichment,Negative,5,GO:0001525,angiogenesis,197,-0.05646512414456867,1.3087050837977174e-6,5.883158210523068
BP,CLIP enrichment,Negative,6,GO:0016477,cell migration,221,-0.11070944599539988,1.5930547277716978e-5,4.797769304198248
BP,CLIP enrichment,Negative,7,GO:0030335,positive regulation of cell migration,201,-0.12330823023007538,2.7864556525050568e-5,4.554947864513614
BP,CLIP enrichment,Negative,8,GO:0061621,canonical glycolysis,21,-2.0117398053890003,1.0282349982919029e-4,3.987907618027465
BP,CLIP enrichment,Negative,9,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,140,-0.05335938091832074,2.708326978190217e-4,3.5672989041481937
BP,CLIP enrichment,Negative,10,GO:0006364,rRNA processing,149,-0.9549968813888836,5.359900776078811e-4,3.2708432500087805
BP,CLIP enrichment,Negative,11,GO:0008033,tRNA processing,99,-1.017033577310296,0.00118623287142553,2.925830045501706
BP,CLIP enrichment,Negative,12,GO:0006281,DNA repair,386,-0.7656973285012874,0.00119754968574688,2.921706458875355
BP,CLIP enrichment,Negative,13,GO:0007399,nervous system development,334,-0.260164113445636,0.00146019279294451,2.8355897994318386
BP,CLIP enrichment,Negative,14,GO:0140242,translation at postsynapse,49,-1.3110612955802352,0.00220066266938122,2.6574465235775
BP,CLIP enrichment,Negative,15,GO:0010976,positive regulation of neuron projection development,136,-0.09326553469920278,0.00220066266938122,2.6574465235775
BP,CLIP enrichment,Positive,1,GO:0006486,protein glycosylation,140,0.3133032316919236,1.947863764389147e-14,13.71044142140148
BP,CLIP enrichment,Positive,2,GO:0007155,cell adhesion,301,0.03796697018236057,1.947863764389147e-14,13.71044142140148
BP,CLIP enrichment,Positive,3,GO:0098609,cell-cell adhesion,127,0.14736047899935403,1.1147848068948106e-7,6.952808958802212
BP,CLIP enrichment,Positive,4,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,65,0.3260576733459338,1.122934501891168e-6,5.94964557436793
BP,CLIP enrichment,Positive,5,GO:0007411,axon guidance,131,0.04307546720296276,1.3087050837977174e-6,5.883158210523068
BP,CLIP enrichment,Positive,6,GO:0006665,sphingolipid metabolic process,39,0.581793354266998,1.5930547277716978e-5,4.797769304198248
