GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0005509,365,-1.7512128884229774,-0.009514739451890136,6.35673260194737e-11,0.968612551142806,calcium ion binding,MF,4.0873790630521584e-8,0.9946639176806643,4.0873790630521584e-8,7.388555084001654
GO:0045296,284,-1.7058851640868153,0.011051437632522873,5.751007802936759e-10,0.9841301524065177,cadherin binding,MF,1.8489490086441679e-7,0.9965896922903713,1.8489490086441679e-7,6.733075065893194
GO:0016757,169,-1.4416760223174065,0.02006780821774866,9.309240487433897e-9,0.9857559754228022,glycosyltransferase activity,MF,1.4546302252768759e-6,0.9965896922903713,1.4546302252768759e-6,5.837247392610465
GO:0005178,95,-0.8046554269490003,-0.23487764892437268,8.38852588514467e-9,0.004702482548265572,integrin binding,MF,1.4546302252768759e-6,0.2365969542243228,1.4546302252768759e-6,5.837247392610465
GO:0005201,68,-0.38746523097094787,-0.10175329954183207,1.131127702392594e-8,0.46023501805194955,extracellular matrix structural constituent,MF,1.4546302252768759e-6,0.8300212504135781,1.4546302252768759e-6,5.837247392610465
GO:0030246,85,-0.923564157510889,-0.024491220748820444,3.646827201519577e-8,0.21421450492598723,carbohydrate binding,MF,3.4834213587516627e-6,0.7387613611135214,3.4834213587516627e-6,5.457993989592085
GO:0001618,49,-0.2432643997614831,-0.10510584995697275,3.7922160981744384e-8,0.15937539671735085,virus receptor activity,MF,3.4834213587516627e-6,0.7067474488914248,3.4834213587516627e-6,5.457993989592085
GO:0038023,139,-1.448872093977493,-0.014931112009912748,1.552080367318778e-7,0.7733621192748849,signaling receptor activity,MF,1.2474845952324678e-5,0.9515331691506975,1.2474845952324678e-5,4.903964808627892
GO:0019838,35,0.2973963165150864,-0.040488495697752806,2.1053053916687768e-7,0.8180939924628402,growth factor binding,MF,1.5041237409366928e-5,0.9546904485546392,1.5041237409366928e-5,4.8227164338272255
GO:0003756,14,1.028572056128369,-0.06782290222235858,1.483555577760605e-6,0.3625533797666254,protein disulfide isomerase activity,MF,8.672056695455173e-5,0.8107703869500288,8.672056695455173e-5,4.0618778915018545
GO:0005001,11,1.4154552888004752,0.11585696669535663,2.0007806259697666e-6,0.3659736698940657,transmembrane receptor protein tyrosine phosphatase activity,MF,9.189299589275428e-5,0.8114519646271872,9.189299589275428e-5,4.036717589387008
GO:0050839,59,-0.9816790187884668,0.0399517563168316,1.9376637184474418e-6,0.6518342705385225,cell adhesion molecule binding,MF,9.189299589275428e-5,0.9115706185576732,9.189299589275428e-5,4.036717589387008
GO:0005518,39,-0.4945154032930727,-0.051725921793087326,7.815979285865138e-6,0.4166354713975298,collagen binding,MF,3.3504497872075223e-4,0.8300111414720827,3.3504497872075223e-4,3.474896886399042
GO:0005385,18,0.4127122567293036,0.10076034764692221,1.9299908461705554e-5,0.653763835515379,zinc ion transmembrane transporter activity,MF,7.299906553456865e-4,0.9115706185576732,7.299906553456865e-4,3.136682699273762
