ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
CC,CLIP enrichment,Negative,1,GO:0009986,cell surface,352,-1.1528559713506494,1.550406439802089e-21,20.809554436394507
CC,CLIP enrichment,Negative,2,GO:0005788,endoplasmic reticulum lumen,204,-0.7333681900664446,3.282413804402346e-19,18.48380666958393
CC,CLIP enrichment,Negative,3,GO:0031012,extracellular matrix,221,-1.113194431984952,4.914225662919514e-13,12.30854490444721
CC,CLIP enrichment,Negative,4,GO:0005925,focal adhesion,360,-1.6374970714789434,9.877245459937857e-13,12.005364153422654
CC,CLIP enrichment,Negative,5,GO:0042470,melanosome,85,-0.7323456158445104,1.821523890039885e-9,8.739565128432796
CC,CLIP enrichment,Negative,6,GO:0016324,apical plasma membrane,199,-1.3349336481399563,7.287772556796938e-9,8.137405189666971
CC,CLIP enrichment,Negative,7,GO:0005911,cell-cell junction,154,-1.2264774424741716,1.2207654477258982e-8,7.9133677713898
CC,CLIP enrichment,Negative,8,GO:0016323,basolateral plasma membrane,150,-1.195168440377779,1.2541520605574129e-8,7.901649803969926
CC,CLIP enrichment,Negative,9,GO:0043235,receptor complex,103,-0.796709718663517,3.2287500083443416e-8,7.490965579696241
CC,CLIP enrichment,Negative,10,GO:0070161,anchoring junction,311,-1.7970126408344471,8.919743761078199e-7,6.049647621492509
CC,CLIP enrichment,Negative,11,GO:0045121,membrane raft,141,-1.3182073781448305,8.94593788339135e-7,6.048374121700364
CC,CLIP enrichment,Negative,12,GO:0005604,basement membrane,65,-0.4632649787005545,2.871565801256931e-6,5.541881227512585
CC,CLIP enrichment,Negative,13,GO:0009897,external side of plasma membrane,134,-1.3363050497967028,6.825596164987116e-6,5.1658594102422395
CC,CLIP enrichment,Negative,14,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,69,-0.9757794039757364,1.834204678026939e-5,4.73655220324732
CC,CLIP enrichment,Negative,15,GO:0022626,cytosolic ribosome,88,-1.5981550614342657,1.834204678026939e-5,4.73655220324732
CC,CLIP enrichment,Positive,1,GO:0071682,endocytic vesicle lumen,10,0.706187600347033,0.001107350459898,2.95571490964311
CC,CLIP enrichment,Positive,2,GO:0030057,desmosome,20,0.04870263484800796,0.00207936728753048,2.6820687926024513
CC,CLIP enrichment,Positive,3,GO:0031528,microvillus membrane,15,0.06015977312706553,0.00420827734795735,2.3758956455847864
CC,CLIP enrichment,Positive,4,GO:1990531,phospholipid-translocating ATPase complex,10,0.738141453149567,0.00424902603226218,2.3717106081354364
CC,CLIP enrichment,Positive,5,GO:0008305,integrin complex,12,0.11175804883505289,0.04391985915322311,1.3573390612964908
CC,Expression change (KD),Negative,1,GO:0001725,stress fiber,70,-0.2410647186730763,0.02818945472459795,1.549913324709758
CC,Expression change (KD),Negative,2,GO:0005925,focal adhesion,360,-0.09927694386934026,0.04052832732878567,1.3922413199412267
CC,Expression change (KD),Negative,3,GO:0022626,cytosolic ribosome,88,-0.13978635967781927,0.04052832732878567,1.3922413199412267
CC,Expression change (KD),Negative,4,GO:0005884,actin filament,68,-0.2743749967673264,0.04052832732878567,1.3922413199412267
CC,Expression change (KD),Negative,5,GO:1990904,ribonucleoprotein complex,350,-0.0528485357652966,0.04090036886317852,1.3882727752562123
CC,Expression change (KD),Negative,6,GO:0005759,mitochondrial matrix,378,-0.06447592350523432,0.0474007236407355,1.324215028140696
CC,Expression change (KD),Positive,1,GO:0030496,midbody,172,0.17604878113271624,0.01578516432515109,1.8017508926989165
CC,Expression change (KD),Positive,2,GO:0000775,"chromosome, centromeric region",151,0.17263086959403662,0.04052832732878567,1.3922413199412267
