entrez,rna_control,rna_case,rna_control_cpm,clip_cpm,clip_enrichment,expr_change,symbol
100,3.55592001766066,2.5990446664042,21.40122907374448,0,-4.485505984757351,-0.340128412630065,ADA
1000,48.0258686775041,53.9321322682756,289.0426702310937,2257.945006982092,2.961312083334873,0.16410709978009738,CDH2
10000,7.65257525023901,9.16631869238561,46.0568615494831,30.69051465800902,-0.5703540139731804,0.2325958735419208,AKT3
10001,5.1312786621322,12.3270707747692,30.88249160388961,0,-4.9946924746584225,1.120099837244236,MED6
10003,2.67194165793502,2.07156670833161,16.081024097602445,0,-4.09432256962567,-0.25756842039416183,NAALAD2
100037417,6.20722549739725,10.8218695228081,37.35805477131605,0,-5.261457654582993,0.7139423131076214,DDTL
10005,3.31250521146057,4.61613289636559,19.936242234457712,0,-4.3879306166112615,0.38105087479623884,ACOT8
10006,3.31525124592856,5.44230820761094,19.95276918455838,0,-4.389069022574101,0.5781331230342855,ABI1
10007,21.0459936219641,11.59312230527,126.66486545007591,42.74750255936971,-1.5450889722796164,-0.8078804758943827,GNPDA1
10008,0.563650094904545,1.14683771344316,3.392316120323135,0,-2.1349818905931874,0.457295426904431,KCNE3
10009,10.5477884663934,13.2875085202567,63.48164077638345,38.36314332251128,-0.7120430237172322,0.3071377732924817,ZBTB33
100093630,11.4997929352455,15.8854461810204,69.21125944495401,75.63019683580794,0.12621060427042055,0.43387610543615124,SNHG8
1001,7.76904291074854,9.21539399950305,46.757819689674164,278.4068115405104,2.548558312848591,0.2202535539971491,CDH3
10010,4.44807122609454,5.57956158358112,26.770622166188744,0,-4.795487594191052,0.27224589121499365,TANK
100101267,11.3743395046183,6.70833204972376,68.45622063823019,0,-6.118032005537911,-0.6828608969826011,POM121C
100101467,1.83098034819057,1.80650225340575,11.019716322789982,0,-3.587330942306383,-0.012528516852120001,ZSCAN30
10011,9.69340219704692,6.4240308524957,58.339535167445966,0,-5.890921720488031,-0.5264463207293305,SRA1
100113407,2.83232642694705,4.42263573335084,17.046296422210055,0,-4.1736308831604845,0.5007738092034154,TMEM170B
100125288,1.07565973277105,0.60383274957095,6.473835247166361,0,-2.901848761375088,-0.37204625614785664,ZGLP1
100128731,21.3489772104378,19.037438327729,128.48836573981993,0,-7.0166786703623965,-0.15751072873064476,OST4
100128782,1.68070551717772,1.08520323377428,10.115290445224828,0,-3.474473741714781,-0.36242474162622407,ERCC6L2-AS1
100128927,1.10165397185907,0.984401460113217,6.630281022818646,0,-2.9317361924150824,-0.08282123154754667,ZBTB42
100129387,4.50920075923636,3.71934260554294,27.13852896258508,0,-4.814475003637479,-0.22325712749465518,GABPB1-AS1
100129482,2.45378918961056,3.49220851329734,14.768078102071875,0,-3.978934922322084,0.3792448672045296,ZNF37BP
100129583,2.27595207928528,1.03078628754365,13.697769232079938,0,-3.877525300150708,-0.6898758296326964,FAM47E
100129792,1.68272176936104,2.8624155026833,10.127425216150877,0,-3.4760478998203603,0.5258059343400923,CCDC152
10013,8.17382014423155,9.09559628969411,49.19396286909962,0,-5.649441947856705,0.1381315967131547,HDAC6
100130238,1.53296792700647,1.04107641730657,9.226134897756147,0,-3.3541890574193585,-0.3114986119822085,GALNT9-AS1
100130691,1.86308081274926,1.92013119161871,11.212912286698668,0,-3.610335360780978,0.028464793835277974,LOC100130691
100130958,0.928197549052229,1.46334132477735,5.586337227580072,0,-2.719476381368748,0.3533636768265454,SYCE1L
100131187,5.49953967406998,4.41482095190486,33.09886267980436,0,-5.091651715850322,-0.2634239097286666,TSTD1
100131193,1.31541248514283,0.596023530107965,7.916782093295017,0,-3.156523161307633,-0.5367873077094207,CCDC183-AS1
100131213,1.6776949254588,0.629875749708712,10.097171262930477,0,-3.472120066504672,-0.7162296135143634,ZNF503-AS2
100132215,0.436984270868345,1.88452652317384,2.629980549626951,0,-1.8599618179092023,1.0052902587767563,EHBP1-AS1
100132341,1.06785378405718,2.49196979778893,6.426855310684738,0,-2.8927514721313488,0.7559069033969892,CLUHP3
100132708,0.918754930740387,0.726699769050558,5.529507029897333,0,-2.7069740741041195,-0.1521532026539159,CYP4F30P
100133612,1.19238195099773,0.134640570209853,7.176325437569502,0,-3.031452620177657,-0.9502638076681247,LINC01134
100134868,3.28425826096,0.651796318842499,19.766238563032303,0,-4.37616801603395,-1.3750096497320403,LOC100134868
100134869,1.67829642777695,1.01513911522073,10.100791391852159,0,-3.4725906269944082,-0.41043620500643796,UBE2Q2P2
100134938,2.22963008312638,2.91756954419998,13.418981282399923,0,-3.8498973350037935,0.2785899551595947,UPK3BL1
10014,5.80721254474852,6.62355098051192,34.95058531486516,0,-5.167943354396974,0.16339899209295697,HDAC5
10015,14.2023973827058,15.5236388374866,85.47682688982282,59.18884969758882,-0.5228173421087317,0.12023258093779986,PDCD6IP
10016,17.8876207337968,19.0161339001938,107.65626532851302,81.11064588188098,-0.40413017666645473,0.08372236827909237,PDCD6
10018,2.48361501302706,4.21909810327984,14.947584186595533,0,-3.9952659893484612,0.5832153252555581,BCL2L11
100188893,19.9579197326392,17.8269084356204,120.11631586545347,0,-6.9202494167609006,-0.15469940853528935,TOMM6
10019,4.23721905921603,2.42275189562713,25.501612879801293,0,-4.728008259200272,-0.6136442304470299,SH2B3
100190939,3.84725001853332,2.94972597538512,23.154592494115136,0,-4.594225608527631,-0.29541393258018456,TPT1-AS1
100192378,2.18886521423781,0.123875334413592,13.173638785124245,0,-3.825138282453535,-1.504561105732089,ZFHX4-AS1
1002,3.32647350200997,1.43268987108792,20.020310094345344,0,-4.3937120471691085,-0.8306391552000612,CDH4
10020,8.76619071975985,6.39713260817261,52.75913259183346,0,-5.748437955184913,-0.4008298128568452,GNE
10021,3.26341283442315,2.7961016164504,19.64078080632254,0,-4.367425641428714,-0.16749014913769655,HCN4
10024,7.95670430646371,11.229960287118,47.887255812548794,0,-5.611386519731449,0.4493798357351615,TROAP
10025,26.4287582702159,25.0401727200327,159.0609201181097,0,-7.322477297541133,-0.07495029360160296,MED16
