ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
MF,CLIP enrichment,Negative,1,GO:0005509,calcium ion binding,365,-1.7512128884229774,4.0873790630521584e-8,7.388555084001654
MF,CLIP enrichment,Negative,2,GO:0045296,cadherin binding,284,-1.7058851640868151,1.848949008644168e-7,6.733075065893194
MF,CLIP enrichment,Negative,3,GO:0016757,glycosyltransferase activity,169,-1.4416760223174063,1.454630225276876e-6,5.837247392610465
MF,CLIP enrichment,Negative,4,GO:0005178,integrin binding,95,-0.8046554269490003,1.454630225276876e-6,5.837247392610465
MF,CLIP enrichment,Negative,5,GO:0005201,extracellular matrix structural constituent,68,-0.3874652309709478,1.454630225276876e-6,5.837247392610465
MF,CLIP enrichment,Negative,6,GO:0030246,carbohydrate binding,85,-0.923564157510889,3.4834213587516627e-6,5.457993989592085
MF,CLIP enrichment,Negative,7,GO:0001618,virus receptor activity,49,-0.2432643997614831,3.4834213587516627e-6,5.457993989592085
MF,CLIP enrichment,Negative,8,GO:0038023,signaling receptor activity,139,-1.448872093977493,1.2474845952324678e-5,4.903964808627892
MF,CLIP enrichment,Negative,9,GO:0050839,cell adhesion molecule binding,59,-0.9816790187884668,9.189299589275428e-5,4.036717589387008
MF,CLIP enrichment,Negative,10,GO:0005518,collagen binding,39,-0.4945154032930727,3.3504497872075223e-4,3.474896886399042
MF,CLIP enrichment,Negative,11,GO:0015026,coreceptor activity,31,-0.36622742196309377,0.0014941228081378,2.8256137045925
MF,CLIP enrichment,Negative,12,GO:0008375,acetylglucosaminyltransferase activity,18,-0.22934335957574573,0.00200975967489742,2.696855871985485
MF,CLIP enrichment,Negative,13,GO:0015485,cholesterol binding,35,-0.9457716292971228,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Negative,14,GO:0015035,protein-disulfide reductase activity,20,-0.11612229417507064,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Negative,15,GO:0008201,heparin binding,81,-1.5585627721316615,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Positive,1,GO:0019838,growth factor binding,35,0.2973963165150864,1.5041237409366928e-5,4.8227164338272255
MF,CLIP enrichment,Positive,2,GO:0003756,protein disulfide isomerase activity,14,1.028572056128369,8.672056695455173e-5,4.0618778915018545
MF,CLIP enrichment,Positive,3,GO:0005001,transmembrane receptor protein tyrosine phosphatase activity,11,1.4154552888004752,9.189299589275428e-5,4.036717589387008
MF,CLIP enrichment,Positive,4,GO:0005385,zinc ion transmembrane transporter activity,18,0.4127122567293036,7.299906553456865e-4,3.136682699273762
MF,CLIP enrichment,Positive,5,GO:0004653,polypeptide N-acetylgalactosaminyltransferase activity,12,1.1729078383857312,8.16589210943213e-4,3.0879963624227957
MF,CLIP enrichment,Positive,6,GO:0031994,insulin-like growth factor I binding,10,2.287509279543121,0.00105564147503719,2.976483555145868
MF,CLIP enrichment,Positive,7,GO:0019955,cytokine binding,21,0.3295081052150439,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Positive,8,GO:0017147,Wnt-protein binding,18,0.099960813683335,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Positive,9,GO:0001968,fibronectin binding,20,0.00346434926369411,0.00682116314547624,2.1661415630868324
MF,CLIP enrichment,Positive,10,GO:0043395,heparan sulfate proteoglycan binding,10,0.32828402565257225,0.01407678509537057,1.8514965195379764
MF,CLIP enrichment,Positive,11,GO:0046873,metal ion transmembrane transporter activity,15,0.08585632988129094,0.01407678509537057,1.8514965195379764
MF,Expression change (KD),Negative,1,GO:0015293,symporter activity,63,-0.30334810233241183,0.01204286784632287,1.9192700793968898
